,title,totalPrice,unitPrice,huxing,size,orientations,house_style,floor,built_time,apartment_layout
135,地铁口旁精装3房 首付30万 中间楼层保养很好带,91.8万,单价10726元/平米,3室2厅,85.59平米,北,精装,中楼层(共29层),2012年建,板塔结合
136,朝阳银座  友阿百货   步步高,63万,单价11514元/平米,2室2厅,54.72平米,南,精装,20层,2005年建,板塔结合
137,武功板块 实用四房  坐北朝南  全明户型,120万,单价10527元/平米,4室2厅,114平米,南,简装,高楼层(共17层),2013年建,板楼
138,雨花亭，电梯房，两房一厅，免物业费。,46.6万,单价8962元/平米,2室1厅,52平米,南,简装,中楼层(共8层),2006年建,板楼
139,单价九千.温馨精装.中间楼层.拎包入住,31万,单价8116元/平米,1室0厅,38.2平米,南,精装,中楼层(共34层),2009年建,塔楼
140,韶山北路355号小区，正规的俩房，业主诚心出售,36.8万,单价7255元/平米,2室1厅,50.73平米,南 北,简装,低楼层(共1层),1996年建,板楼
141,汽车南站 佳天名苑 精装三房 地段位置出行便利,80万,单价8170元/平米,3室2厅,97.92平米,南 北,精装,低楼层(共18层),2012年建,板楼
142,绿城精装好房 中间位置 复式楼采光佳 价格1.1万,205万,单价9456元/平米,4室2厅,216.8平米,南,精装,高楼层(共5层),2007年建,板楼
143,市妇幼旁 电梯两房一厅 装修带家电 即买即住,50万,单价7353元/平米,2室1厅,68平米,东南,其他,低楼层(共25层),2006年建,塔楼
144,五矿少有小高层，四房带双阳台，中间楼层东边户。,210万,单价14894元/平米,4室2厅,141平米,南 北,毛坯,高楼层(共18层),2013年建,板塔结合
145,雨花亭商圈 黄土岭 一号线四号线 交通便利,50万,单价8651元/平米,2室1厅,57.8平米,南,简装,高楼层(共7层),2001年建,板楼
146,中和央空调全屋硅藻泥   35万精装  保养很好 随时看房,205万,单价16169元/平米,3室2厅,126.79平米,南,精装,中楼层(共34层),2013年建,塔楼
147,东江水电站单位房  中yang空调  电梯毛坯大五房,180万,单价9451元/平米,5室2厅,190.46平米,南,毛坯,中楼层(共12层),2003年建,板楼
148,业主诚心出售，随时看房。厅、房朝南、周正两房,90万,单价10651元/平米,2室2厅,84.5平米,南,简装,低楼层(共18层),2012年建,板塔结合
149,坐北朝南周正三房，精致装修，业主自住,130万,单价9735元/平米,3室2厅,133.55平米,南,精装,高楼层(共16层),2005年建,板楼
150,精装大四房，视野无阻，中间楼层！拎包入住！,150万,单价9689元/平米,4室2厅,154.83平米,南 北,精装,中楼层(共18层),2010年建,板塔结合
151,上海城少有南北通透的四房毛坯，可任由您自由发挥！,145万,单价11051元/平米,4室2厅,131.21平米,南 北,毛坯,高楼层(共33层),2010年建,塔楼
152,上海城，交通便利，拎包入住，户型周正,160万,单价12404元/平米,4室2厅,129平米,南,精装,高楼层(共32层),2009年建,塔楼
153,此房满五年，业主自住装修，居家舒适，出行方便,149.8万,单价9269元/平米,4室2厅,161.62平米,南 北,精装,低楼层(共17层),2007年建,塔楼
154,地理位置优越  业主诚心 可拎包入住,46万,单价8680元/平米,1室0厅,53平米,南,简装,中楼层(共33层),2008年建,塔楼
155,汽车南站，时代阳光大道，高楼层采光好，户型通透居家,86万,单价9813元/平米,2室2厅,87.64平米,南,精装,高楼层(共33层),2011年建,板塔结合
156,井湾子商圈装修三房，南北通透的户型，小区中间位置,88万,单价7274元/平米,3室2厅,120.98平米,南 北,简装,中楼层(共7层),2005年建,板楼
157,精装修三卧带独立卫生间，四面采光。,229万,单价14318元/平米,3室2厅,159.94平米,南 北,精装,中楼层(共17层),2008年建,板楼
158,欧莱雅郡豪，装修，附带地下室和车库100平家具家电,228万,单价15878元/平米,4室2厅,143.6平米,南 北,精装,中楼层(共5层),2015年建,板塔结合
159,金凤滩家园 简单装修  户型周正 小区环境好,145万,单价8224元/平米,4室2厅,176.32平米,南,简装,低楼层(共18层),2007年建,塔楼
160,融科经典大户型毛坯，业主诚心出售。,369万,单价14226元/平米,6室3厅,259.4平米,南,毛坯,中楼层(共31层),2012年建,塔楼
161,星城世家 南北通复试楼 简单装修 位置安静,290万,单价12132元/平米,7室3厅,239.05平米,南 北,简装,高楼层(共5层),2007年建,板楼
162,高桥商圈 东二环 中江锦城 两室一厅拎包入住，有钥匙,58万,单价7733元/平米,2室1厅,75.01平米,南,简装,高楼层(共7层),2003年建,板楼
163,08年佳天瑞宁花园+二环内去哪都方便+精装修+人车分流,228万,单价13905元/平米,4室2厅,163.98平米,南 北,精装,中楼层(共33层),2008年建,塔楼
164,绿城桂花城 纯毛坯 看房方便 业主诚心,275万,单价10510元/平米,5室2厅,261.66平米,南 北,毛坯,高楼层(共5层),2007年建,板塔结合
165,万家城 小区中间位置毛坯三房  次新小区环境绿化好,140万,单价11090元/平米,3室2厅,126.25平米,南 北,毛坯,中楼层(共17层),2013年建,板塔结合
166,2号线地铁 融科檀香山二期 南北通透安静4+1房 精装修,260万,单价14558元/平米,5室2厅,178.6平米,南 北,精装,33层,2012年建,板塔结合
167,尚东 万科西街花园 地铁口 精装修 大露台 诚心卖,130万,单价16122元/平米,2室2厅,80.64平米,南 北,精装,高楼层(共6层),2008年建,板楼
168,香樟路两房，采光好，视野开阔，交通便利。,65万,单价8115元/平米,2室1厅,80.1平米,南 北,简装,高楼层(共6层),2006年建,板楼
169,视野开阔 南北通透 办公居家都可以的大三房,215万,单价16007元/平米,4室1厅,134.32平米,南 北,简装,中楼层(共28层),2006年建,板塔结合
170,树林岭商圈 双铁口 交通便捷 业主自住精装修 居住舒适,95万,单价9413元/平米,2室2厅,100.93平米,南,精装,高楼层(共18层),2007年建,塔楼
171,低总价华盛四房 位置安静 南北通透,168万,单价9535元/平米,4室2厅,176.21平米,南 北,毛坯,低楼层(共18层),2009年建,板楼
172,武广新城精装大三房 楼栋安静中间楼层 采光视野好,204万,单价13947元/平米,3室2厅,146.27平米,南,精装,中楼层(共9层),2007年建,板楼
173,雨花亭  阳光锦城 户型周正 看房方便 朝北 诚心出售,95万,单价19380元/平米,2室1厅,49.02平米,南,精装,中楼层(共31层),2013年建,板楼
174,新出好房 自住装修 可随时看房保养的很好拎包入住,65万,单价9028元/平米,2室2厅,72平米,南,精装,高楼层(共8层),2007年建,板楼
175,书香名邸 三卧室朝南 采光好 交通便利 配套成熟,180万,单价13055元/平米,4室2厅,137.88平米,南 北,精装,中楼层(共12层),2006年建,板塔结合
176,此房满五唯一 自主装修可拎包入住 中间楼层采光通风好,130万,单价8784元/平米,3室2厅,148平米,南,精装,29层,2008年建,板塔结合
177,东方新世界左家塘商圈小三房，精装诚心出售，产证在手,120万,单价12122元/平米,3室2厅,99平米,东 南,精装,高楼层(共30层),2005年建,塔楼
